      1 2 ../nhg/6vyb.nhg ../lig/ligCHEMBL1162144.lig 1 0.000000 2 nb:1.000000, b:0.000000 pred:0
      1 2 ../nhg/6vyb.nhg ../lig/ligCHEMBL1201341.lig 1 0.000000 2 nb:0.999988, b:0.000012 pred:0
      1 2 ../nhg/6vyb.nhg ../lig/ligCHEMBL1451116.lig 1 0.000000 2 nb:1.000000, b:0.000000 pred:0
      1 2 ../nhg/6vyb.nhg ../lig/ligCHEMBL146972.lig 1 0.000000 2 nb:1.000000, b:0.000000 pred:0
      1 2 ../nhg/6vyb.nhg ../lig/ligCHEMBL15891.lig 1 0.000000 2 nb:0.999999, b:0.000001 pred:0
      1 2 ../nhg/6vyb.nhg ../lig/ligCHEMBL172513.lig 1 0.000000 2 nb:1.000000, b:0.000000 pred:0
      1 2 ../nhg/6vyb.nhg ../lig/ligCHEMBL18.lig 1 0.000000 2 nb:0.000082, b:0.999918 pred:1
      1 2 ../nhg/6vyb.nhg ../lig/ligCHEMBL2106975.lig 1 0.000000 2 nb:0.999996, b:0.000004 pred:0
      1 2 ../nhg/6vyb.nhg ../lig/ligCHEMBL218490.lig 1 0.000000 2 nb:0.000002, b:0.999998 pred:1
      1 2 ../nhg/6vyb.nhg ../lig/ligCHEMBL2219422.lig 1 0.000000 2 nb:0.000251, b:0.999749 pred:1
      1 2 ../nhg/6vyb.nhg ../lig/ligCHEMBL3546168.lig 1 0.000000 2 nb:0.999959, b:0.000041 pred:0
      1 2 ../nhg/6vyb.nhg ../lig/ligCHEMBL3707346.lig 1 0.000000 2 nb:1.000000, b:0.000000 pred:0
      1 2 ../nhg/6vyb.nhg ../lig/ligCHEMBL3833314.lig 1 0.000000 2 nb:0.999999, b:0.000001 pred:0
      1 2 ../nhg/6vyb.nhg ../lig/ligCHEMBL39736.lig 1 0.000000 2 nb:1.000000, b:0.000000 pred:0
      1 2 ../nhg/6vyb.nhg ../lig/ligCHEMBL3989678.lig 1 0.000000 2 nb:1.000000, b:0.000000 pred:0
      1 2 ../nhg/6vyb.nhg ../lig/ligCHEMBL462547.lig 1 0.000000 2 nb:1.000000, b:0.000000 pred:0
      1 2 ../nhg/6vyb.nhg ../lig/ligCHEMBL467.lig 1 0.000000 2 nb:0.999997, b:0.000003 pred:0
      1 2 ../nhg/6vyb.nhg ../lig/ligCHEMBL773.lig 1 0.000000 2 nb:0.999997, b:0.000003 pred:0
      2 2 ../nhg/6vyb.nhg ../lig/ligCHEMBL1353.lig 1 0.000000 2 nb:0.999999, b:0.000001 pred:0
